business.rating,business.review_count,business.is_claimed,business.name,business.categories,business.is_closed,business.location.city,business.location.neighborhoods,business.location.postal_code
4.5,28,FALSE,J and J Restaurant & Takeout,Portuguese;American (Traditional);Seafood,FALSE,Somerville,,2143
4,346,TRUE,Penguin Pizza,Pizza;Italian,FALSE,Boston,,2115
4,1182,TRUE,Toro,Tapas Bars,FALSE,Boston,South End,2118
4,280,FALSE,Deli-icious,Delis,FALSE,Somerville,Davis Square,2144
4.5,111,TRUE,Meat Spot,Delis;Meat Shops;Sandwiches,FALSE,Watertown,,2472
4,349,FALSE,Carlo's Cucina Italiana,Italian,FALSE,Allston,Allston/Brighton,2134
4,271,TRUE,OTTO,Pizza,FALSE,Brookline,Coolidge Corner,2446
4,761,TRUE,The Paramount,Breakfast & Brunch;American (New);Sandwiches,FALSE,Boston,Beacon Hill,2114
4,275,TRUE,Atwood's Tavern,Bars;American (Traditional),FALSE,Cambridge,,2141
4,185,FALSE,Rod Dee Thai Cuisine,Thai,FALSE,Cambridge,Porter Square,2140
4,122,TRUE,UBurger,Burgers,FALSE,Boston,Allston/Brighton,2215
4,1287,TRUE,Atlantic Fish Company,Seafood;Pubs,FALSE,Boston,Back Bay,2116
4,570,FALSE,Taiwan Caf̩,Taiwanese;Chinese,FALSE,Boston,Chinatown,2111
4.5,53,FALSE,Zo,Greek,FALSE,Boston,,2109
4,250,TRUE,Michael's Deli,Delis;Sandwiches;Bagels,FALSE,Brookline,Coolidge Corner,2446
4,625,TRUE,Brown Sugar Cafe,Thai,FALSE,Boston,Allston/Brighton,2215
4,304,FALSE,S & I Thai,Thai,FALSE,Allston,Allston/Brighton,2134
4,326,TRUE,Park Restaurant & Bar,American (New);Bars,FALSE,Cambridge,Harvard Square,2138
4.5,77,TRUE,Tenoch Mexican,Mexican,FALSE,Boston,North End,2110
4.5,528,TRUE,The Capital Grille,Steakhouses;American (Traditional),FALSE,Boston,Back Bay,2115
4,85,TRUE,Fordee's Falafel & Deli,Middle Eastern;Sandwiches;Falafel,FALSE,Watertown,,2472
4.5,27,TRUE,McCabe's on Mass,American (New);Breakfast & Brunch,FALSE,Cambridge,Porter Square;North Cambridge,2140
4.5,54,TRUE,Banh Mi House,Bubble Tea;Sandwiches;Vietnamese,FALSE,Boston,Downtown,2108
4,272,TRUE,Strip-T's Restaurant,Sandwiches;American (New);Seafood,FALSE,Watertown,,2472
4.5,420,TRUE,Ball Square Caf̩,Breakfast & Brunch;American (Traditional),FALSE,Somerville,,2144
4,171,FALSE,Aceituna Cafe,Middle Eastern,FALSE,Cambridge,Kendall Square/MIT;East Cambridge,2142
4,170,TRUE,Woody's Grill and Tap,Bars;American (Traditional);Pizza,FALSE,Boston,,2115
4,68,FALSE,Las Ventas,Spanish;Sandwiches,FALSE,Boston,South End,2118
4,656,TRUE,The Daily Catch,Italian;Seafood,FALSE,Boston,North End,2113
4,555,TRUE,Posto,Italian;Pizza,FALSE,Somerville,Davis Square,2144
4,353,TRUE,Boston Chowda Co.,Seafood,FALSE,Boston,,2109
4.5,201,FALSE,Super Fusion Cuisine,Asian Fusion;Sushi Bars,FALSE,Watertown,,2472
4.5,121,TRUE,Max and Leo's,Pizza;Caterers,FALSE,Newton,,2458
4,139,TRUE,Ward 8,Cocktail Bars;American (New),FALSE,Boston,North End,2113
4,321,TRUE,Jm Curley,American (New);Lounges,FALSE,Boston,Downtown,2111
4.5,57,FALSE,Mulligans,Sandwiches;Delis,FALSE,Boston,,2114
4,746,FALSE,Crema Cafe,Coffee & Tea;Cafes,FALSE,Cambridge,Harvard Square,2138
4,538,FALSE,Punjabi Dhaba,Indian,FALSE,Cambridge,Inman Square,2139
4.5,84,FALSE,Spoke,American (New);Wine Bars,FALSE,Somerville,Davis Square,2144
4,169,TRUE,Bottega Fiorentina,Italian,FALSE,Brookline,Coolidge Corner,2446
4,311,TRUE,Genki Ya,Sushi Bars;Japanese,FALSE,Cambridge,,2138
4,161,TRUE,Corner Tavern,Bars;American (New),FALSE,Boston,Back Bay,2115
4,302,TRUE,Garden at the Cellar,Pubs;American (New);Breakfast & Brunch,FALSE,Cambridge,Central Square,2138
4,222,TRUE,Alden & Harlow,American (Traditional);Breakfast & Brunch,FALSE,Cambridge,Harvard Square,2138
4,421,TRUE,Greek Corner Restaurant,Greek;Mediterranean,FALSE,Cambridge,North Cambridge,2140
4.5,41,TRUE,Meridian Food Market,Specialty Food;Sandwiches,FALSE,East Boston,East Boston,2128
4,127,TRUE,Tavern at the End of the World,Pubs;American (New),FALSE,Charlestown,Charlestown,2129
4,78,TRUE,Izzy's Restaurant & Sub Shop,American (Traditional);Sandwiches;Latin American,FALSE,Cambridge,Kendall Square/MIT,2139
4.5,147,TRUE,D'Amelios Off the Boat Italian & Seafood Restaurant,Seafood;Italian,FALSE,East Boston,East Boston,2128
4,264,TRUE,Pho Viet's,Vietnamese,FALSE,Boston,Allston/Brighton,2228
4.5,170,TRUE,The Hawthorne,American (New);Cocktail Bars,FALSE,Boston,,2215
4,128,FALSE,Court House Seafood Restaurant,Seafood Markets;Seafood,FALSE,Cambridge,East Cambridge,2141
4,196,TRUE,Lemon Thai Cuisine,Thai,FALSE,Somerville,,2143
4,130,TRUE,Sabatino's Italian,Italian;Pizza;Sandwiches,FALSE,Brighton,Allston/Brighton,2135
5,33,TRUE,Rinc�_n Mexicano,Mexican,FALSE,Somerville,,2143
4,336,FALSE,The Lower Depths,Pubs;American (Traditional),FALSE,Boston,,2115
4,517,TRUE,Bon Chon,Korean;Chicken Wings,FALSE,Allston,Allston/Brighton,2134
4,1145,TRUE,Eastern Standard Kitchen and Drinks,American (New);Lounges;Breakfast & Brunch,FALSE,Boston,,2215
4,61,TRUE,Shabu & Mein,Japanese,FALSE,Cambridge,Kendall Square/MIT;East Cambridge,2142
4.5,33,FALSE,Newtowne Variety,Sandwiches;Salad,FALSE,Cambridge,Kendall Square/MIT,2139
4,170,TRUE,Cafe Kiraz,Sandwiches;Delis;Cafes,FALSE,Cambridge,Inman Square,2139
4,267,TRUE,Za,Pizza;Salad,FALSE,Arlington,East Arlington,2474
4,246,TRUE,The Plough & Stars,Music Venues;American (Traditional);Irish,FALSE,Cambridge,Central Square,2139
4,95,TRUE,Dough East Boston,Pizza;Sandwiches,FALSE,East Boston,East Boston,2128
4.5,213,TRUE,Render Coffee,Cafes;Coffee & Tea,FALSE,Boston,,2118
4,375,TRUE,Coda,American (New);Burgers;Cocktail Bars,FALSE,Boston,Back Bay,2116
4,82,TRUE,Cafe Rustico,Italian;Salad;Sandwiches,FALSE,Boston,,2144
4,270,TRUE,75 Chestnut,American (New);Diners,FALSE,Boston,Beacon Hill,2108
4,159,TRUE,Swish Shabu,Japanese;Sushi Bars,FALSE,Boston,Fenway,2215
4,268,FALSE,The Field,Pubs;Burgers;Sandwiches,FALSE,Cambridge,Central Square,2139
4,256,TRUE,Rangzen Tibetan Place,Food Delivery Services;Asian Fusion,FALSE,Cambridge,Central Square,2139
4,232,FALSE,Brookline Lunch,Diners;Middle Eastern,FALSE,Cambridge,Central Square,2138
4,406,TRUE,SOFRA Bakery & Cafe,Middle Eastern;Bakeries;Breakfast & Brunch,FALSE,Cambridge,,2138
4.5,41,FALSE,Angelo's Pizza,Pizza,FALSE,Cambridge,Harvard Square,2138
4.5,68,TRUE,The Glenville Stops,American (New);Burgers;Gastropubs,FALSE,Boston,Allston/Brighton,2134
4.5,35,FALSE,Virginia's Fine Foods,Delis;Sandwiches,FALSE,Brookline,,2445
4,78,FALSE,Mama's Place,Greek;Burgers,FALSE,Boston,,2115
4,328,TRUE,Ten Tables,American (New),FALSE,Cambridge,,2138
4,988,TRUE,Zaftigs Delicatessen,Breakfast & Brunch;Delis;Burgers,FALSE,Brookline,Coolidge Corner,2446
4,137,TRUE,Boloco Copley Square,American (New);Mexican,FALSE,Boston,Back Bay,2116
4,629,FALSE,Silvertone,Italian;Gastropubs,FALSE,Boston,Downtown,2108
4,74,TRUE,Al's Harvard Square Cafe,Sandwiches,FALSE,Cambridge,Harvard Square,2138
4,174,TRUE,Rod Dee Thai 2,Thai,FALSE,Boston,Fenway,2215
4,81,TRUE,Bon Me,Vietnamese,FALSE,Cambridge,Kendall Square/MIT,2139
4,80,TRUE,Sushi Station,Japanese;Sushi Bars,FALSE,Boston,Mission Hill,2120
