,,,,,,,
Id2,Total; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; Total population,Percent; Age group: 20-40,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median family income (dollars),Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree and above,Percent; Population - Asian alone
1510,13618,6778,6840,26.6,83135,32.1,1.60%
1515,2152,1124,1028,18.9,75313,25.4,0.00%
1516,8466,3916,4550,21.8,92070,32.8,0.20%
1518,3089,1669,1420,24.2,91441,30.7,0.00%
1519,6386,3186,3200,22.2,134464,61.7,3.45%
1520,14333,7284,7049,20.8,113241,52.6,3.59%
1521,2477,1110,1367,20.4,81033,28.5,0.52%
1522,2994,1631,1363,21.4,90612,51.1,1.30%
1523,7395,3237,4158,26.7,90288,35.4,1.41%
1524,7029,3611,3418,26.4,78397,29,2.53%
1525,136,56,80,35.3,47206,15.5,0.00%
1527,13257,6910,6347,21.3,85482,28.4,1.49%
1529,3168,1571,1597,21.9,87778,23,0.44%
1531,1084,569,515,22,95300,31.6,0.28%
1532,14407,7183,7224,19.4,122750,58.7,8.21%
1534,5168,2710,2458,20.4,108070,34.2,1.93%
1535,4681,2308,2373,19.7,76919,20.9,0.00%
1536,7156,3587,3569,25.2,108011,48.2,7.91%
1537,2334,1110,1224,21.8,97206,28.8,2.40%
1540,11237,5679,5558,22.4,85636,25.3,0.70%
1541,3423,1722,1701,13.3,121673,63.5,1.75%
1542,1655,906,749,15.7,80848,17.2,0.91%
1543,7967,3598,4369,19.4,106250,40.6,3.74%
1545,35413,17709,17704,23.4,106014,55.9,16.05%
1550,16775,8781,7994,25.6,56671,17,2.30%
1560,4290,2308,1982,28.9,106094,45.5,18.48%
1561,293,131,162,25.9,36902,12.6,4.44%
1562,11713,5900,5813,26.1,80895,23.2,0.32%
1564,7808,4015,3793,18.4,115658,52.3,0.32%
1566,6141,3108,3033,16.6,96958,45,2.69%
1568,7367,3837,3530,16,137817,51.1,1.09%
1569,13422,6758,6664,20.8,97760,31.8,0.89%
1570,16760,8835,7925,25.9,60678,18.9,2.39%
1571,11401,5592,5809,24.9,80326,28.1,0.55%
1581,18345,9206,9139,23.7,124870,64.3,19.86%
1583,7627,2857,4770,30.9,90698,32.6,0.39%
1585,4481,2235,2246,22.9,80313,26.5,2.10%
1588,10411,5318,5093,22.4,69281,26.3,0.38%
1590,8836,4588,4248,16.4,118886,42.2,0.51%
1602,23185,12505,10680,25.7,71960,43.7,3.78%
1603,19123,10259,8864,28.3,53668,20.2,9.03%
1604,35844,18580,17264,31.9,54136,27.6,7.30%
1605,26247,14481,11766,29.8,40435,27,4.85%
1606,19899,10466,9433,27.6,77078,38.2,2.11%
1607,8265,4338,3927,30.3,59786,25,4.66%
1608,3767,2017,1750,39.4,19271,17.5,3.90%
1609,21571,11033,10538,32.6,59896,37.9,4.90%
1610,23826,12247,11579,38.7,33714,15.6,6.70%
1611,2446,1172,1274,31.7,70875,21.1,0.45%
1612,4846,2381,2465,20.2,112202,50.2,1.96%
1701,31144,16168,14976,22,107651,52.2,6.74%
1702,37700,19937,17763,36.5,67380,38.6,8.27%
1718,367,211,156,24.2,144844,84.8,33.51%
1719,5017,2455,2562,15.8,163243,74.6,14.89%
1720,21382,10757,10625,17.3,141011,73.5,17.73%
1721,16587,8671,7916,20.2,115659,54.9,4.64%
1730,13515,6969,6546,17.8,131518,63.3,9.47%
1731,1865,860,1005,36.4,78099,45.3,2.04%
1740,4905,2430,2475,13.4,151563,64.3,2.71%
1741,4870,2548,2322,9,176310,81.7,8.85%
1742,18309,8874,9435,15,158587,66.3,4.65%
1745,365,159,206,17.3,72833,51,14.79%
1746,13668,6933,6735,15.7,122286,60.1,2.38%
1747,5911,2880,3031,19,109557,46.2,2.01%
1748,14982,7451,7531,16.3,151019,68.6,4.19%
1749,19077,9617,9460,23.4,86817,35.8,1.90%
1752,38491,19212,19279,27.5,91413,38.8,4.97%
1754,10151,5080,5071,24.6,103750,48.7,2.73%
1756,5827,3088,2739,16.8,105711,46,1.18%
1757,28120,14296,13824,27.7,79767,36.5,2.50%
1760,32821,16829,15992,21.1,118886,62.5,7.20%
1770,4128,2099,2029,9.5,170972,82.7,5.91%
1772,9380,4925,4455,14.2,164455,68,11.59%
1773,4672,2444,2228,12.4,146667,83.7,5.42%
1775,6618,3356,3262,16.3,133211,64.5,3.01%
1776,17712,8989,8723,13.2,177768,77.1,7.37%
1778,13136,6812,6324,12.1,154803,75.3,9.93%
1801,38732,19795,18937,28.2,90786,33,7.12%
1803,24372,12575,11797,23.5,110039,47.3,14.55%
1810,33385,17480,15905,17.1,144685,68,10.88%
1821,30569,15603,14966,25.2,102692,30.2,4.99%
1824,24603,12638,11965,19,118750,50.8,6.29%
1826,29555,14700,14855,24.6,89258,25.1,3.19%
1827,3190,1654,1536,17.2,119167,47.7,1.38%
1830,25229,13033,12196,28.2,75184,26.4,0.72%
1832,22324,11706,10618,27.6,65362,25.1,1.52%
1833,8203,4108,4095,18.9,120500,46.3,0.32%
1834,6530,3350,3180,16.7,101074,37.5,1.98%
1835,13400,6900,6500,26.1,83227,39.4,2.71%
1840,4493,2254,2239,31.2,30685,11.3,0.73%
1841,47547,24464,23083,30.1,32289,8.9,1.44%
1843,24291,12815,11476,29.6,44031,14.3,5.40%
1844,47238,24434,22804,24,81250,28,3.89%
1845,28114,14318,13796,20.6,123341,55.3,4.83%
1850,15924,8416,7508,33.1,59688,16.4,7.97%
1851,29404,14958,14446,32.3,55592,20.8,37.00%
1852,33316,16875,16441,29.8,63222,26.3,11.42%
1854,28113,14938,13175,33.2,59424,21.7,19.71%
1860,6368,3256,3112,18.8,92182,38.8,0.00%
1862,10385,5212,5173,25.1,94668,24.9,4.14%
1863,9328,4754,4574,24.6,96141,43.5,9.56%
1864,14919,7268,7651,21.3,118642,45.8,3.56%
1867,24252,12776,11476,19.6,117676,55.2,3.38%
1876,28634,14960,13674,23.2,105982,33.7,3.02%
1879,11484,5618,5866,22.4,120893,41.3,4.67%
1880,24906,12882,12024,23,112785,44.1,3.94%
1886,22107,11038,11069,16.1,137230,65.1,10.93%
1887,22392,11351,11041,18,107689,37.5,3.86%
1890,21437,11317,10120,14.1,161546,70.3,9.61%
1901,2147,1332,815,27,24196,27.1,4.84%
1902,44654,23075,21579,30,46438,17.1,9.49%
1904,18765,9554,9211,25.4,87290,25.1,1.71%
1905,24779,12923,11856,30.8,41448,12.7,7.05%
1906,26761,14385,12376,22,93782,26.3,3.57%
1907,14011,7599,6412,18.7,116610,56.2,1.55%
1908,3438,1950,1488,18.5,125952,46.7,0.35%
1913,16344,8438,7906,24.4,95963,42.3,0.78%
1915,39748,21053,18695,27,90550,41.8,1.78%
1921,7990,3919,4071,13.6,147485,63,1.41%
1922,3013,1524,1489,17.3,134688,49.9,0.00%
1923,26507,13924,12583,20.7,93246,39.3,1.98%
1929,3520,1779,1741,18.8,103041,43.4,1.05%
1930,28937,15486,13451,18.8,79560,34,0.59%
1937,61,16,45,0,-,37.8,0.00%
1938,13271,6798,6473,16,104181,47.7,0.73%
1940,12019,6043,5976,16,117993,46.2,4.76%
1944,5158,2482,2676,15.7,143750,69,0.00%
1945,19879,10321,9558,15.1,128542,67.4,0.68%
1949,8992,3734,5258,28.3,100521,36,5.85%
1950,17460,9272,8188,18.1,118902,55.9,1.19%
1951,3673,1787,1886,16.2,93056,56.3,0.00%
1952,8289,4271,4018,18.5,92054,26.6,0.00%
1960,51036,26890,24146,21.9,83349,29.9,2.51%
1966,7018,3738,3280,13.9,99141,48.1,0.13%
1969,5857,3000,2857,14.6,106224,37,0.20%
1970,41500,21902,19598,31.7,62828,37.9,2.79%
1982,7942,3985,3957,20.9,113720,69.5,7.04%
1983,6127,3087,3040,13.1,124153,62.4,3.77%
1984,4892,2613,2279,23.7,160391,64.5,1.53%
1985,4263,1996,2267,16.6,133977,62.9,0.00%
2019,16304,8407,7897,25.1,93665,32.6,1.32%
2021,21596,11433,10163,21,112318,49.5,4.26%
2025,7756,3912,3844,12.9,148214,68,0.00%
2026,24716,12473,12243,23.2,106124,45.4,2.67%
2030,5608,2680,2928,10.7,200625,83.1,6.67%
2032,3536,1782,1754,24.6,97788,39,10.89%
2035,16864,8560,8304,22.1,106331,41.4,3.80%
2038,31760,15924,15836,21.2,115470,50.2,4.76%
2043,22136,11657,10479,16.3,139976,60.1,2.11%
2045,10342,5695,4647,20.3,91402,37.8,0.81%
2047,136,66,70,0,31190,19.2,0.00%
2048,23191,11342,11849,23.2,110693,49.1,4.47%
2050,25485,12868,12617,19.8,109568,50.9,1.15%
2052,12067,5963,6104,13.9,134785,66.3,2.26%
2053,12742,6574,6168,19.2,125610,50,4.44%
2054,7905,3867,4038,19.5,107951,45.3,3.88%
2056,11142,4387,6755,22.6,142823,49.3,0.86%
2061,10501,5152,5349,14.3,122130,54.9,2.30%
2062,28580,14498,14082,25,95976,41.2,4.91%
2066,17708,9332,8376,14.2,116795,52.8,0.19%
2067,17399,9109,8290,15.9,145987,70.6,12.32%
2071,1947,474,1473,29.8,99423,25,0.62%
